"Part";"Value";"Device";"Package";"Description";"";
"R67";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R68";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R69";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R70";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R71";"100";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R72";"15K";"R-US_CHIP-0805(2012-METRIC)";"RESC2012X65";"Resistor Fixed - ANSI";"";
"R83";"1M";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"R84";"10K";"R-US_CHIP-1206(3216-METRIC)";"RESC3216X70";"Resistor Fixed - ANSI";"";
"RA1";"745C101103JP";"745C101103JP";"RES-ARR-8-2512-BUSSED_-_RESCAV127P640X310X69-10N";"";"";
"RA2";"745C101103JP";"745C101103JP";"RES-ARR-8-2512-BUSSED_-_RESCAV127P640X310X69-10N";"";"";
"RA3";"745C101103JP";"745C101103JP";"RES-ARR-8-2512-BUSSED_-_RESCAV127P640X310X69-10N";"";"";
"RST-SW";"TL3365";"TL3365";"TL3365";"";"";
"TP-GND";"PINHD-1X2";"PINHD-1X2";"1X02";"PIN HEADER";"";
"TP1";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP2";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP3";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP4";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP5";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP6";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP7";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP8";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP9";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP10";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP11";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP12";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP13";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP14";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP15";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP16";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP17";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP18";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP19";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP20";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP21";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP22";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP23";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP24";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP25";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP26";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP27";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP28";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP29";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP30";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP31";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP48";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP49";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP50";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP51";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP52";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP53";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP54";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP55";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP56";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP57";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP58";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP59";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP60";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP61";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP62";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP63";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP64";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP65";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP66";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP67";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP68";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP69";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP70";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP71";"TESTPOINTSMALL";"TESTPOINTSMALL";"TP-S";"";"";
"TP80";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
"TP81";"TESTPOINTMEDIUM";"TESTPOINTMEDIUM";"TP-M";"";"";
